,EID,training_name,completion_date
0,E0001,Database Management,2020-07-23 18:29:38
1,E0002,Database Management,2016-02-29 02:52:04
2,E0003,Basic Operation,2022-12-27 22:33:22
3,E0004,Human Resources,2022-12-27 18:18:00
4,E0005,Basic Operation,2020-12-20 15:12:07
5,E0006,Database Management,2020-10-24 08:35:05
6,E0007,Human Resources,2014-11-22 23:52:55
7,E0008,Basic Operation,2020-10-15 02:49:45
8,E0009,Human Resources,2020-10-12 21:19:08
9,E0010,Human Resources,2016-06-20 14:46:27
10,E0011,Human Resources,2022-02-23 03:41:49
11,E0012,Basic Operation,2015-04-29 00:00:39
12,E0013,Basic Operation,2013-05-06 18:42:00
13,E0014,Basic Operation,2014-08-23 19:05:18
14,E0015,Database Management,2018-06-04 15:07:51
15,E0016,Basic Operation,2022-05-07 10:22:05
16,E0017,Human Resources,2022-08-13 08:43:10
17,E0018,Database Management,2012-12-08 04:43:52
18,E0019,Database Management,2014-04-17 09:37:41
19,E0020,Basic Operation,2023-05-24 13:49:36
