,EID,Mon,Tue,Wed,Thu,Fri,Sat,Sun
0,E0001,True,True,False,True,False,False,False
1,E0002,True,True,True,True,False,True,False
2,E0003,True,False,True,True,False,True,False
3,E0004,True,False,True,False,False,True,False
4,E0005,False,False,True,False,True,True,False
5,E0006,False,True,False,False,True,True,True
6,E0007,True,False,False,False,True,False,True
7,E0008,True,True,False,False,True,False,True
8,E0009,False,False,True,True,True,True,True
9,E0010,True,True,False,True,True,False,True
10,E0011,False,True,True,False,True,True,True
11,E0012,True,True,True,False,True,True,False
12,E0013,False,False,False,True,True,True,True
13,E0014,False,True,True,True,False,True,False
14,E0015,False,True,True,True,False,False,True
15,E0016,False,True,True,True,False,True,True
16,E0017,True,False,True,False,True,False,True
17,E0018,True,True,True,True,True,False,False
18,E0019,True,True,False,False,True,True,False
19,E0020,True,False,False,True,True,True,False
