,EID,contract_type,hour_count,unit_pay,total_pay
0,0001,hour,54,26,1404
1,0002,month,168,2850,2850
2,0003,month,155,2850,2850
3,0004,month,168,2850,2850
4,0005,month,171,2250,2250
5,0006,month,169,3150,3150
6,0007,month,173,1650,1650
7,0008,hour,50,17,850
8,0009,hour,55,26,1430
9,0010,month,167,2100,2100
10,0011,month,177,1800,1800
11,0012,month,166,2100,2100
12,0013,month,178,2250,2250
13,0014,month,158,2700,2700
14,0015,month,175,3150,3150
15,0016,month,152,3150,3150
16,0017,hour,62,20,1240
17,0018,hour,60,23,1380
18,0019,hour,67,26,1742
19,0020,hour,71,20,1420
